--- multipoles on reference trajectory (rz > 0) ---
effective_length:                   75.28162643125742 mm
perpendicular_grid:                 41 points in [-12.000000,+12.000000] mm
max_fitting_error_normal            0.054/2622.437 G/G
max_fitting_error_skew              0.084/0.066 G/G
r0_for_relative_multipoles          12 mm
main_monomial                       n = 2, skew:False
                                       Nn(s=0)      Integ_Nn     Nn/N0(@r0)   |    Sn(s=0)      Integ_Sn     Sn/S0(@r0)  
<multipole_order n>                    [T/m^n]      [T.m/m^n]        []       |    [T/m^n]      [T.m/m^n]        []      
n=00:                                2.1019e-02    -1.9569e-03   +7.5463e-02  |  2.8085e-06    -3.6067e-08   +1.3908e-06 
n=01:                                    ---           ---           ---      |  1.8758e-04    -5.6356e-07   +2.6079e-07 
n=02:                                2.3921e+03    -1.8008e+02   +1.0000e+00  |  3.9862e-02    -1.8319e-05   +1.0173e-07 
n=03:                                    ---           ---           ---      |  3.5537e+00    +2.7035e-02   -1.8015e-06 
n=04:                                3.9940e+05    -2.8734e+04   +2.2977e-02  |  2.1631e+03    -5.0113e+01   +4.0072e-05 
n=06:                                3.5678e+08    -3.0405e+07   +3.5011e-03  |  3.2587e+07    +1.6571e+06   -1.9081e-04 
n=07:                                    ---           ---           ---      |  1.0168e+08    -2.8413e+07   +3.9260e-05 
n=08:                                3.8111e+12    +1.9566e+11   -3.2443e-03  |  2.0969e+11    -1.7187e+10   +2.8498e-04 
n=09:                                    ---           ---           ---      |  9.0550e+11    +2.8031e+11   -5.5775e-05 
n=10:                                    ---           ---           ---      |  4.0754e+14    +5.7032e+13   -1.3618e-04 
n=13:                                    ---           ---           ---      |  4.8931e+19    -4.3344e+18   +1.7883e-05 
n=14:                                3.4239e+23    -2.4186e+22   +1.1975e-03  |      ---           ---           ---     
